Método,Ruta,Tiempo Medio,N. de Peticiones
POST,/api/v1/devices/fMv8bj/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/aBHfsU/,96.5 ms,2 pet
POST,/api/v1/devices/aBHfsU/access/,56.0 ms,1 pet
PATCH,/api/v1/devices/JI9ux9/,81.0 ms,1 pet
POST,/api/v1/devices/links/,50.30348258706468 ms,201 pet
PATCH,/api/v1/pushes/all_read/,67.0952380952381 ms,588 pet
PATCH,/api/v1/devices/0v4abq/,80.0 ms,1 pet
POST,/api/v1/devices/r3np55/access/,46.5 ms,2 pet
PATCH,/api/v1/devices/KK02Gq/,75.8 ms,5 pet
POST,/api/v1/devices/z7pUax/access/,49.0 ms,1 pet
POST,/api/v1/devices/DZZyxv/access/,57.0 ms,1 pet
PATCH,/api/v1/devices/jNQE5c/,110.0 ms,1 pet
POST,/api/v1/devices/83Eb57/access/,46.333333333333336 ms,3 pet
PATCH,/api/v1/devices/83Eb57/,81.3 ms,10 pet
POST,/api/v1/devices/3ZIhxk/access/,55.0 ms,1 pet
PATCH,/api/v1/devices/3ZIhxk/,100.0 ms,1 pet
PATCH,/api/v1/devices/OpDEE6/,107.66666666666667 ms,3 pet
PATCH,/api/v1/devices/56Z7Sh/,83.66666666666667 ms,3 pet
POST,/api/v1/devices/McSIOW/access/,51.0 ms,1 pet
GET,/messenger/page/544540149253287/feed/,374.0 ms,13 pet
PATCH,/api/v1/devices/jUvTuu/,57.0 ms,1 pet
PATCH,/api/v1/devices/pouxAx/,101.0 ms,1 pet
POST,/api/v1/devices/7Szr68/access/,59.0 ms,1 pet
POST,/api/v1/devices/mKKGu3/access/,50.0 ms,1 pet
PATCH,/api/v1/devices/d2F2I2/,99.0 ms,4 pet
POST,/api/v1/devices/sv08QO/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/sv08QO/,85.0 ms,1 pet
PATCH,/api/v1/devices/mQ0OEF/,66.0 ms,1 pet
POST,/api/v1/devices/NIBuqy/access/,47.0 ms,1 pet
POST,/api/v1/devices/YH4EVF/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/UIbaHp/,55.0 ms,1 pet
POST,/api/v1/devices/wE9OHe/access/,49.0 ms,1 pet
POST,/api/v1/devices/szirgY/access/,68.0 ms,1 pet
PATCH,/api/v1/devices/LW5bUn/,67.0 ms,1 pet
PATCH,/api/v1/devices/tiXbM8/,81.0 ms,1 pet
PATCH,/api/v1/devices/jHtDRY/,89.0 ms,1 pet
PATCH,/api/v1/devices/nzU29m/,91.5 ms,2 pet
PATCH,/api/v1/devices/eW34gG/,86.4 ms,5 pet
POST,/api/v1/devices/8UrfiV/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/8UrfiV/,99.0 ms,1 pet
POST,/api/v1/devices/753TAe/access/,45.0 ms,1 pet
POST,/api/v1/devices/haXV72/access/,74.0 ms,1 pet
PATCH,/api/v1/devices/753TAe/,116.0 ms,1 pet
POST,/api/v1/devices/QYwBFb/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/haXV72/,89.0 ms,1 pet
PATCH,/api/v1/devices/9AG1fC/,149.66666666666666 ms,3 pet
POST,/api/v1/devices/EhPzpR/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/gDQ3V3/,97.0 ms,1 pet
POST,/api/v1/devices/ulPDdn/access/,47.0 ms,1 pet
POST,/api/v1/devices/SB4dMr/access/,87.0 ms,1 pet
POST,/messenger/el-pais-internacional-fb/webhook/,138.5 ms,6 pet
POST,/api/v1/devices/twwz10/access/,59.0 ms,1 pet
POST,/api/v1/devices/ljnTMv/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/hgb89o/,62.0 ms,1 pet
PATCH,/api/v1/devices/h7K22L/,92.0 ms,1 pet
POST,/api/v1/devices/H79cw4/access/,65.0 ms,1 pet
POST,/api/v1/devices/MxjQku/access/,44.0 ms,1 pet
POST,/api/v1/devices/9BQFKI/access/,42.0 ms,1 pet
PATCH,/api/v1/devices/9BQFKI/,94.0 ms,1 pet
POST,/api/v1/devices/qqSUDN/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/GUGSdF/,85.0 ms,1 pet
PATCH,/api/v1/devices/ZWzF4C/,85.0 ms,1 pet
PATCH,/api/v1/devices/gaVJPb/,101.0 ms,1 pet
PATCH,/api/v1/devices/S0bJIh/,58.0 ms,1 pet
PATCH,/api/v1/devices/ZvFdwB/,74.0 ms,1 pet
PATCH,/api/v1/devices/Jas679/,59.0 ms,1 pet
PATCH,/api/v1/devices/EnHQiL/,92.0 ms,2 pet
POST,/api/v1/devices/CjcEQc/access/,56.0 ms,1 pet
POST,/api/v1/devices/BcNQlW/access/,51.0 ms,1 pet
PATCH,/api/v1/devices/BcNQlW/,97.0 ms,1 pet
POST,/api/v1/devices/NdggF7/access/,46.0 ms,1 pet
POST,/api/v1/devices/McAGFK/access/,81.0 ms,1 pet
POST,/api/v1/devices/b3b4Zi/access/,53.0 ms,1 pet
PATCH,/api/v1/devices/ZglQ13/,96.0 ms,1 pet
POST,/api/v1/devices/myWt8f/access/,44.0 ms,1 pet
POST,/api/v1/devices/8kRWbq/access/,69.0 ms,1 pet
POST,/api/v1/devices/13LM3B/access/,69.0 ms,1 pet
POST,/api/v1/devices/bXOnlg/access/,44.0 ms,1 pet
POST,/api/v1/devices/bHhpoM/access/,46.5 ms,2 pet
PATCH,/api/v1/devices/bHhpoM/,146.0 ms,1 pet
POST,/api/v1/devices/bk6mtk/access/,66.0 ms,1 pet
POST,/api/v1/devices/1gznEC/access/,46.0 ms,1 pet
POST,/api/v1/devices/h2KKNg/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/229Hia/,90.0 ms,1 pet
POST,/api/v1/devices/kylIL3/access/,47.0 ms,1 pet
POST,/api/v1/devices/Ea1Nt4/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/Ea1Nt4/,58.0 ms,1 pet
POST,/api/v1/devices/nmjyO2/access/,59.0 ms,2 pet
PATCH,/api/v1/devices/OPOGIr/,58.0 ms,1 pet
POST,/api/v1/devices/OPOGIr/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/eco7rG/,60.0 ms,1 pet
PATCH,/api/v1/devices/DoR5v3/,69.0 ms,1 pet
POST,/api/v1/devices/links/?retries=0,51.666666666666664 ms,9 pet
POST,/api/v1/devices/D3HC9K/access/,85.0 ms,1 pet
PATCH,/api/v1/devices/D3HC9K/,99.0 ms,2 pet
POST,/api/v1/devices/iVJ6jp/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/iVJ6jp/,54.0 ms,1 pet
